unidade;data;texto
5àsec Carrefour Vila Maria;30/12/18 21:57;Q2 : Qualidade no serviço oferecido
5àsec Mooca;30/12/18 21:43;Q2 : Prometeram avisar por email e telefone a data de retirada e não entraram em contato.  | Q4 : Cumprir com o prometido.
5àsec Mooca;30/12/18 20:24;Q2 : Atendimento e qualidade | Q4 : A entrega poderia ser mais rápido
5àsec Nestor Pestana;30/12/18 19:16;Q2 : Muito como e fácil de utilizar o serviços | Q4 : A entrega poderia ser  só um pouquinho mais rápida, mas por favor não vejam como crítica, pois o serviço é otimo!
5àsec Alameda Santos II;30/12/18 17:26;Q2 : Excelente prestação de serviços. | Q4 : Nada a acrescentar.
5àsec Aclimaçao;30/12/18 17:25;Q4 : Entregar em casa num prazo mais curto!
5àsec Rua Da Mooca;30/12/18 17:13;Q2 : Excelente qualidade  no trabalho.
5àsec Shopping Market Place;30/12/18 16:21;
5àsec Carrefour Vila Maria;30/12/18 16:17;Q2 : Pedimos um vinco na calça e veio com 2. Feio uma calça desfiada. | Q4 : Cumprir os horários pois, fui no dia 29 no período da tarde e estava fechado, outro ponto eh vocês não atendem o telefone ou celular marcado no loja.
5àsec Alameda Santos II;30/12/18 15:46;Q4 : Poderia melhorar a entrada de carros.
5àsec Vila Mariana Klabin;30/12/18 15:42;Q2 : Delivery e qualidade  | Q4 : Avisar um dia antes a entrega
5àsec Pastorinho;30/12/18 15:36;"Q2 : Serviço Excelente
Terno chegou muito bem passado e cheiroso. | Q4 : No site fiz o pedido dia 23-12 e mostrou que poderiam retirar no dia 24-12, o que foi um erro do site pois não sabia que a 5àsec não funcionava no dia 24...talvez a única coisa que deve melhorar é a disponibilidade correta das datas de retirada.
A entrega pelo menos foi feita no dia marcado, que no caso foi dia 28-12.
Por mais que aconteceu essa pequena confusão, estou satisfeito com o serviço da 5àsec."
5àsec Mergenthaler;30/12/18 15:34;
5àsec Vargem Grande Paulista;30/12/18 15:27;Q2 : O atendimento é ótimo
5àsec Casa Verde;30/12/18 15:20;Q2 : O atendimento é excelente!!!
5àsec Penha;30/12/18 15:12;Q2 : Otima lavagem e secagem. Além da embalagem que é ótima pra armazenagem. | Q4 : O prazo de entrega não foi cumprido e eu tive que buscar as pelas na loja
5àsec Vila Funchal;30/12/18 15:11;
5àsec Sumare Posto Texaco;30/12/18 15:08;Q2 : Serviço de qualidade, conseguiram remover manchas antigas de algumas peças e tem o diferencial da entrega em domicílio, recomendo. | Q4 : Os planos são um pouco limitados, poderia oferecer mais opções.
5àsec Vila Beatriz;30/12/18 15:08;"Q2 : Preços muito elevados
 | Q4 : Diminuir preços e lançar promoções"
5àsec Carrefour Pirituba;30/12/18 15:06;Q2 : Bons serviços
5àsec Indianopolis;30/12/18 14:37;Q2 : Ótimo atendimento
5àsec Ministro Rocha Azevedo;30/12/18 03:40;Q2 : Excelente serviço! | Q4 : Nada
5àsec Carrefour Vila Maria;30/12/18 03:02;Q2 : Demora na entrega | Q4 : Não sei  ainda. Vou testar e depois falo.
5àsec Oscar Freire;30/12/18 00:50;
5àsec Alfonso Bovero;30/12/18 00:19;Q2 : Atenção, presteza e soluções eficientes para roupas | Q4 : Manter o nível de atendimento
5àsec Vila Guilherme;29/12/18 20:16;Q2 : Fiz o pedido e aguardei até a data para retirarem as roupas porem ninguem apareceu, mais dois dias e nada, tive que abrir reclamação e informaram que a unidade onde foi o pedido não a recebeu, mais 2 dias até retirarem, informaram data de entrega e novamente passaram 2 dias da data prevista, sobre a lavagem as roupas viaram limpas porem sem perfume, ja levei em outras e tive resultados melhores.
5àsec Granja Viana Alpha;29/12/18 20:07;Q2 : Se a loja fosse mais perto de casa a nossa nota seria 10 | Q4 : Loja mais perto de casa
5àsec Pedroso Alvarenga;29/12/18 18:49;"Q2 : A disponibilidade de horário a loja é precária  | Q4 : Melhor atendimento no balcão 

As funcionárias deveriam entender que não estão prestandom favor,  nas sim um ser, pelo qual a lavanderia está sendo paga

O cliente é um bem precioso em qualquer empresa 
Tem que ser valorizado 
Não vi isso nos últimos atendimentos"
5àsec Carrefour Vila Maria;29/12/18 16:37;
5àsec Lapa Albion;29/12/18 16:34;Q2 : Bom atendimento, serviços mas valor cobrado poderia ser melhor. | Q4 : Preços e prazos de entrega embora desta vez não houvesse pressa em retirar.
5àsec Gumercindo Saraiva;29/12/18 16:01;
5àsec Pedroso Alvarenga;29/12/18 14:13;Q2 : Ótimo  atendimento  com muito capricho  no  trabalho que oferece aos  clientes
5àsec Alameda Campinas;29/12/18 14:07;Q2 : O atendimento é sempre EXCELENTE e o serviço muito bem executado!
5àsec Aclimaçao;29/12/18 14:05;Q2 : Pontualidade LP
5àsec Cursino;29/12/18 13:34;
5àsec Jardim Aeroporto;29/12/18 02:40;Q4 : Não sei ....
5àsec Campo Belo;29/12/18 00:51;Q4 : Embalagem das roupas pra não amassar
5àsec Carrefour Vila Maria;29/12/18 00:06;Q2 : Bom atendimento e a quantidade do serviço prestado. | Q4 : Quantidade de funcionários no atendimento. Uma única funcionaria, que tem que se virar nos 30 para atender um monte de clientes.
5àsec Penha;28/12/18 23:58;Q2 : Gosto do atendimento do serviço da pontualidade e da qualidade. | Q4 : Continuem assim!
5àsec Votuporanga Padrao II;28/12/18 22:47;
5àsec Vila Nova Concei?Ao I;28/12/18 19:35;
5àsec Shopping Iguatemi Alphaville;28/12/18 19:06;Q2 : Qualidade de limpeza boa porem atendimento e pontualidade precária  | Q4 : Maior pontualidade no prazo dado, acrescentar um ar condicionado pra funcionárias que estavam suando tanto na recepção quanto na retirada.
5àsec Rua Da Mooca;28/12/18 16:45;Q2 : Gosto do atendimento  | Q4 : Gosto do atendimento
5àsec Moema Lavandisca;28/12/18 16:32;Q2 : A atendente Tamiris é nota 10! Você está estacionando, e ela já separa as roupas que vai buscar. Está sempre de bom humor e lembra de detalhes. Sempre pergunta como está a minha mulher, manda lembranças. Um show! | Q4 : Por vezes, já reparei que a blusa da 2ª atendente (não é a Tamiris, nem a que está lá agora) não estava limpa e estava usada demais. O capricho aí é essencial para uma lavanderia.
5àsec Interlagos Autodromo;28/12/18 16:10;Q2 : 10
5àsec Interlagos Autodromo;28/12/18 16:06;
5àsec Posto Avançado Ana Neri;28/12/18 15:52;
5àsec Jardim Aeroporto;28/12/18 15:50;Q2 : Muito bom serviço e muito bom atendimento!
5àsec Schilling;28/12/18 15:28;Q2 : Não entregaram no prazo e o atendimento deixa a desejar
5àsec Vila Mariana;28/12/18 15:27;Q2 : Porque estou muito satisfeita em todos os pontos .arendimento e serviços.
5àsec Wal Mart Pacaembu;28/12/18 15:25;Q2 : Recomendaria, apesar de achar um pouco caro.
5àsec Pao De Açucar 1 De Janeiro;28/12/18 15:20;Q2 : O preço. R$89,00 pra lavar e passar um vestido de festa liso, sem bordado e sem renda,  é um absurdo!  | Q4 : Os preços
5àsec Avenida Atlantica;28/12/18 15:19;Q2 : Ótimo
5àsec Shopping Iguatemi Alphaville;28/12/18 15:19;Q2 : Ótimo atendimento
5àsec Bela Vista Consolacao;28/12/18 15:14;Q2 : Caro e serviço demorada. | Q4 : Eles sempre coloquem colorinho com sujidade e sem garantia no recibo. Outro dia trouxesse 3 camisas NOVAS sem ser usadas e mesmo assim saiu no recibo colorinho com sujidade sem garantia. Muito irritante.
5àsec Oscar Freire;28/12/18 15:11;Q2 : Ótimo atendimento
5àsec Tremembe;28/12/18 15:10;Q2 : Serviço de primeira qualidade.
5àsec Interlagos Autodromo;28/12/18 14:59;Q2 : Atendimento e pontualidade
5àsec Bela Vista Consolacao;28/12/18 14:55;Q2 : Qualidade do serviço
5àsec Shopping Center Norte;28/12/18 12:18;Q2 : Excelente  | Q4 : Preço
5àsec Mooca;28/12/18 09:41;
5àsec Pinheiros;28/12/18 09:23;
5àsec Carrefour Pirituba;28/12/18 02:52;Q2 : Excelente atendimento.e tudo entregue  no dia conbinado
5àsec Vitoria Da Conquista;28/12/18 02:19;Q2 : GOSTEI DO TRABALHO | Q4 : O VALOR COBRADO
5àsec Gumercindo Saraiva;28/12/18 00:21;
5àsec Guarulhos Parque Shopping Maia;27/12/18 22:35;
5àsec Portal Do Morumbi;27/12/18 22:28;Q2 : Atendimento e
5àsec Extra Raposo Tavares;27/12/18 22:07;Q2 : pelo atendimento, e tb a entrega tudo bem organizado.
5àsec Guarulhos Parque Shopping Maia;27/12/18 20:36;Q2 : Preço alto | Q4 : O preço é  um pouco salgado
5àsec Parque Shopping Barueri;27/12/18 19:53;Q2 : Tempo de Lavagem, disponibilidade e capacitação de funcionários. Simpatia e Sintonia devem ser trabalhadas  | Q4 : Qualidade de atendimento
5àsec Metro Conceiçao;27/12/18 18:51;Q2 : Excelente trabalho e atendimento. | Q4 : Estar sempre presente
5àsec Moema Indios;27/12/18 17:52;Q4 : Vocês subiram muito o preço e infelizmente está difícil de pagar.
5àsec Colinas Sao Francisco;27/12/18 17:38;
5àsec Sumare Posto Texaco;27/12/18 16:49;
5àsec Jardim Marajoara 2 Posto Shell;27/12/18 16:42;Q2 : Atendimento sempre ótimo !
5àsec Cambuci;27/12/18 16:32;Q2 : Ótimo atendimento.  | Q4 : O prazo padrão de entrega das peças poderia ser menor.
5àsec Teresina;27/12/18 15:42;
5àsec Jardim Sao Paulo;27/12/18 15:10;
5àsec Pinheiros;27/12/18 14:59;
5àsec Berrini;27/12/18 14:55;"Q2 : A atendente verificou as cobertas, mas não informou o que estava anotando sobre elas
 | Q4 : Mais receptivos, qdo questionei o que estava sendo anotado sobre minhas cobertas, a pessoa que estava atendendo, não gostou muito em ter que esclarecer"
5àsec Guarulhos Parque Shopping Maia;27/12/18 14:55;Q2 : Péssimo serviço, deixei um tapete para lavar com retirada e entrega incluso, e não foi entregue na data prometida nem entraram em contato para informar que não seria entrega, por que a lavanderia estava sem carro, o serviço de entrega foi pago com antecedência, tive que ir retirar o tapete pagar custa do estacionamento, pois a lavanderia se encontra dentro de um shopping, não recomendo para ninguém. | Q4 : Nao voltarei
5àsec Reebok Vila Olimpia;27/12/18 14:54;
5àsec Wal Mart Pacaembu;27/12/18 14:53;Q2 : Atendimento excepcional realizado pela equipe
5àsec Santa Cecilia;27/12/18 14:52;
5àsec Carrefour Aricanduva;27/12/18 14:51;
5àsec Perdizes;27/12/18 14:46;
5àsec Wal Mart Pacaembu;27/12/18 14:44;Q2 : Atendimento e serviço perfeitos  | Q4 : Ter sempre promoções como as já existentes !!
5àsec Rua Da Mooca;27/12/18 10:50;Q2 : Preço
5àsec Shopping Plaza Sul;27/12/18 06:03;Q2 : Atendimento nota 10
5àsec Tatuape;27/12/18 00:54;Q2 : Satisfação com o atendimento e o serviço prestado
5àsec Campinas Sousas;26/12/18 21:44;Q2 : O atendimento é sempre ótimo. Funcionárias super atenciosas e quando o serviço não fica 10, elas refazem. | Q4 : O valor do serviço poderia ser mais acessível.
5àsec Portal Do Morumbi;26/12/18 21:22;
5àsec Guarulhos Parque Shopping Maia;26/12/18 20:21;Q2 : Serviço muito bem feito, atendimento cordial, educado e eficiente. | Q4 : Se melhorar acho que não fica tão bom como está!
5àsec Brooklin Paulista;26/12/18 20:06;
5àsec Santana;26/12/18 20:04;Q2 : O valor cobrado poderia ser mais em conta
5àsec Cambuci;26/12/18 18:28;Q2 : Bons Serviços e localização  | Q4 : Cartão fidelidade
5àsec Aclimaçao;26/12/18 18:13;Q2 : Gostei bastante
5àsec Pio Xi;26/12/18 17:49;"Q2 : Deixei uma roupa da minha filha pra trocar o feixo, deixei pago, me deram o prazo de 1 semana e depois de 15 dias ainda não tinham feito , perdi viagens de ir buscar e minha filha não
Pode usar a roupa no dia q precisava"
5àsec Mooca;26/12/18 16:04;
5àsec Vicente Rao;26/12/18 16:03;Q2 : Algumas manchas não foram tiradas das camisas brancas
5àsec Mergenthaler;26/12/18 15:08;
5àsec Extra Raposo Tavares;26/12/18 15:06;
5àsec Alphaville Bradesco Seguros;26/12/18 15:01;
5àsec Guarulhos Parque Shopping Maia;26/12/18 13:58;
5àsec Jardim Aeroporto;26/12/18 13:47;
5àsec Carrefour Aricanduva;26/12/18 13:38;Q2 : ATENDIMENTO, PROFISSIONALISMO E GENTILEZA.
5àsec Mergenthaler;26/12/18 12:18;Q2 : Atendente atenta à minha chegada na loja, atendimento rápido e com atenção ao que estava fazendo.
5àsec Freguesia Do O;26/12/18 12:12;Q2 : A falta de responsabilidade com relação ao envio de NOTAS FICAIS | Q4 : A minha empresa só paga com apresentação de NOTAS FISCAIS
5àsec Penha;26/12/18 11:53;Q4 : Preço promoção
5àsec Sun Shopping Carrao;26/12/18 03:35;"Q2 : A atendente é excelente.
É uma fortinha que casou recentemente, ela é uma graça de atendente. Realizou o atendimento com toda a excelência possível. Parabéns por terem ela como funcionária  | Q4 : Melhorar opção de parcelamento sem juros."
5àsec Guarulhos Tiradentes;26/12/18 02:38;Q2 : Bom atendimento e rapide
5àsec Mergenthaler;26/12/18 02:13;Q2 : Serviço satisfatório, mas demorou mais do que eu esperava
5àsec Guarulhos;26/12/18 01:30;
5àsec Colinas Sao Francisco;25/12/18 23:44;Q2 : pontualidade | Q4 : isencao estacionamento
5àsec Colinas Sao Francisco;25/12/18 22:20;
5àsec Alphaville Bradesco Seguros;25/12/18 21:19;Q2 : Serviço egicaz
5àsec Colinas Sao Francisco;25/12/18 20:50;Q2 : Retiraram no local e prazo combinados
5àsec Campo Belo;25/12/18 19:31;
5àsec Shopping Boulevard Tatuapé;25/12/18 18:34;Q2 : Atendimento ruim | Q4 : Dar treinamento de simpatia e educação para funcionária. Havia outra funcionária muito simpática e gentil, não sei porque trocaram.
5àsec Extra Raposo Tavares;25/12/18 18:07;Q2 : Qualidade no atendimento.
5àsec Alfonso Bovero;25/12/18 16:02;Q2 : Atendimento maravilhoso
5àsec Carrefour Vila Maria;25/12/18 15:46;Q2 : Excelente atendimento e ótimo trabalho. | Q4 : Manter como está. Obrigada.
5àsec Shopping Analia Franco;25/12/18 14:51;
5àsec Avenida Atlantica;25/12/18 14:50;Q2 : Bom atendimento
5àsec Brooklin;25/12/18 14:49;Q2 : Só falta um App para facilitar ainda mais a vida | Q4 : Acredito que um App onde programe as peças que vai levar e logo um auto-atendimento na loja 24 horas ou pelo menos com horário extendido
5àsec Mergenthaler;25/12/18 14:37;
5àsec Estados Unidos;25/12/18 14:30;"Q2 : Foi um casaco de lã . A atendente justificou o preco de R$ 67,00 por ter pelos (tinha mesmo porque foi usado com blusas de lã ).qdo fui buscar o casaco os pelos estavam lá . Não parecia ter sido lavado.
 | Q4 : Qualidade da lavagem ."
5àsec Avenida Atlantica;25/12/18 13:59;
5àsec Guarulhos;24/12/18 23:23;Q2 : Bom atendimento e bom serviço.
5àsec Loefgreen;24/12/18 22:35;Q2 : Não me emitiram Nota Fiscal e atendimento demorado na retirada. | Q4 : Emitir nota fiscal. Sonegação é crime!
5àsec Colinas Sao Francisco;24/12/18 20:23;Q2 : atendimento excepcional
5àsec Interlagos Sonda;24/12/18 20:17;Q2 : Atendimento, cortesia e qualidade
5àsec Butantã Shopping;24/12/18 19:47;
5àsec Colinas Sao Francisco;24/12/18 17:47;Q2 : Atendimento eficiente, rápido, pessoas educadas. | Q4 : Mais descontos para clientes  que estão sempre presentes.
5àsec Sumare Posto Texaco;24/12/18 16:01;
5àsec Tremembe;24/12/18 15:07;Q2 : Pelo atendimento e qualidade do serviço
5àsec Shopping Iguatemi;24/12/18 14:58;Q2 : Atendimento  | Q4 : Orientar supervisores a não gritar com funcionários da lenidade :  No dia 12 deste mês (Dezembro) eu ia entrar na unidade  e levei um susto. Havia uma supervisora, acredito que o nome era Edna,  atacando verbalmente a funcionária que sempre me atende, Meire, a qual prezo muito e o bom atendimento é o que me faz levar minhas roupas na unidade do Shopping Iguatemi da Faria Lima. Não entrei na loja e fui embora constrangida pela situação.  Voltei 5 dias dias após, confirmando o que eu ouvi  e quero deixar aqui que só vou ao Iguatemi por conta do bom atendimento. Att., Paula
5àsec Shopping Eldorado;24/12/18 14:44;Q2 : Atendimento excelente e entrega rápida, busquei o vestido um dia depois de ter deixado para lavar | Q4 : Disponibilização de preço e prazo de entrega no site.
5àsec Vila Carrão;24/12/18 13:29;Q2 : Excelente serviço
5àsec Penha;24/12/18 12:49;Q2 : Só não foi nota 10 pelo fato da dificuldade em estacionar. Possui 2 vagas e, caso acabe coincidindo o horário com outras pessoas, não tem onde estacionar o carro. | Q4 : Acredito que agilizar o processo de cadastro (simplificar) quem sabe pegar informações mais básicas para realizar um pré-cadastro e depois completar quando da retirada dos produtos no caso dos novos e também disponibilizar um serviço de retirada e entrega. Isso, entendo eu, pode ampliar a abrangência dos pedidos e criar fidelidade com o clientes.
5àsec Extra Itaim;24/12/18 11:49;Q2 : É minha avaliação  | Q4 : Prazos
5àsec Avenida Atlantica;24/12/18 10:13;
5àsec Interlagos Autodromo;24/12/18 02:29;Q2 : A disponibilidade, atendimento tanto por telefone quanto presencial excelentes e supriu minha necessidade para o dia seguinte ! Parabéns! | Q4 : Colocar os ternos na promoção da sacola haha! Gostei muito !
5àsec Shopping Boulevard Tatuapé;24/12/18 02:06;
5àsec Vila Mascote;24/12/18 02:05;
5àsec Extra Morumbi;24/12/18 01:50;Q2 : Porque o serviço é bom | Q4 : Achei o preço do vestido de noiva curto muito caro, meu vestido é simples e me cobraram na faixa de 350 reais!!!
5àsec Tatuape;23/12/18 20:57;Q2 : Excelente atendimento e serviço | Q4 : Está tudo ótimo!
5àsec Penha;23/12/18 20:53;Q2 : O serviço  é perfeito. | Q4 : Eu gostaria q a lavanderia,como um todo se preo upesse mais com o meio ambiente.Criando uma gestão de insumos,por exemplo.Economizando plastico,papel etc
5àsec Ibirapuera;23/12/18 20:48;"Q2 : Presteza, responsabilidade, bom atendimento e excelenres serviços. 
E SAMPO OU  | Q4 : Está  ótimo."
5àsec Conselheiro Moreira;23/12/18 20:31;Q2 : Ótimo serviço e atendimento
5àsec Jardim Marajoara;23/12/18 18:21;Q2 : Atraso na entrega | Q4 : Atenção aos prazos
5àsec Campo Belo;23/12/18 17:45;Q2 : Atendimento mau humorado, roupas não vieram mmuito limpas e me passaram a data errada de retiraça.
5àsec Guarulhos Tiradentes;23/12/18 16:36;Q2 : A atendente precisa de um treinamento urgente de como atender o cliente. | Q4 : Melhorar a forma de atender o cliente
5àsec Shopping Center Norte;23/12/18 16:20;Q2 : Mandei para tirar uma mancha e voltou com a mancha maior | Q4 : Precisa lavar melhor e cumprir o prazo de entrega
5àsec Campo Belo;23/12/18 16:13;
5àsec Carrefour Aricanduva;23/12/18 15:42;
5àsec Freguesia Do O;23/12/18 15:36;Q2 : Bom atendimento,trabalho bem feito | Q4 : Não precisa mudar nada
5àsec Guarulhos Timoteo Penteado;23/12/18 15:30;Q2 : Por ter cuidado muito bem das minhas roupas. E sempre ligam para o cliente para avisar que as peças estão prontas.  | Q4 : Deixar os clientes cientes de suas roupas através do whatsapp
5àsec Shopping Penha;23/12/18 15:24;"Q2 : Otimo atendimento e excelente trabalho.
Obrigada! | Q4 : Tudo perfeito."
5àsec Guarulhos Parque Shopping Maia;23/12/18 15:22;Q2 : Sempre precisaremos melhorar a cada dia | Q4 : Acredito que poderia melhorar mais quando passam as camisas, embora as ultimas tem vindo bem melhor...
5àsec Jardim Sao Paulo;23/12/18 15:17;Q2 : A qualidade
5àsec Bela Vista Consolacao;23/12/18 15:16;Q2 : Servico de primeira e agendimento melhor ainda.
5àsec Alameda Santos;23/12/18 11:46;"Q2 : Sempre que vou lá sou muito bem atendido. E acredito eu que qualquer pessoa que chegue a 
 qualquer estabelecimento e é bem atendido vai querer voltar. É um diferencial | Q4 : Talvez a possibilidade de fidelizar ainda mais os clientes. Deixa eu explicar, após uma quantidade de vezes levando as roupas pra lavar, ter um desconto ou cortesia."
5àsec Paraiso Tutoia;22/12/18 23:15;Q2 : Qualidade e bom atendimento
5àsec Clodomiro Amazonas;22/12/18 20:15;Q2 : Gostei muito do atendimento, a atendente foi super receptiva. Minha nota se dá para ela! | Q4 : Demorar menos (no caso, meu pedido foi online)
5àsec Mooca;22/12/18 20:09;"Q2 : Qualidade do atendimento caiu bastante. Funcionarios parecem desmotivados.

 | Q4 : Informar possibilidades de descontos e pontuacao"
5àsec Pastorinho;22/12/18 20:00;Q2 : Ótimo atendimento
5àsec Vila Guilherme;22/12/18 18:03;
5àsec Moema Passaros;22/12/18 17:06;Q2 : Atendimento
5àsec Carrefour Pirituba;22/12/18 16:30;
5àsec Penha;22/12/18 16:05;
5àsec Oscar Freire;22/12/18 15:31;Q2 : Ótimo atendimento e serviço
5àsec Braz Leme;22/12/18 15:26;
5àsec Vila Nova Concei?Ao I;22/12/18 15:23;Q4 : vide acima | Q2 : Preço exagerado. Para alisar duas camisas e colocar num cabidinho R34.00. A camisa era NON IRON e cada custou nos Estados Unidos US$15.00 m ou R$57.00. Trabalho levou menos de 2 minutos. Se vocês pegarem R$34,00-2 = R$17,00 cada camisa e por minuto ou R$1.020 por hora se considerarmos 200 h mensais = R$204.000. Depois vocês reclamam que a Master Franquia cobra muito de vocês..... desculpe....isso é exagero mesmo para a Vila Nova Conceição onde resido mais de 30 anos. Caso de colocar isso nas mídias sociais!
5àsec Vila Mariana;22/12/18 15:18;Q2 : Não tirou toda sujeira, parece que a lavagem foi muito superficial e sem capricho.
5àsec Mooca;22/12/18 15:01;
5àsec Teresina;22/12/18 14:52;
5àsec Parque Shopping Barueri;22/12/18 14:47;Q2 : Totalmente satisfeito | Q4 : Ser mais rápido
5àsec Alphaville;22/12/18 14:45;
5àsec Penha;22/12/18 14:45;Q2 : Satisfação  | Q4 : Para mim tá tudo bem
5àsec Shopping Iguatemi Alphaville;22/12/18 13:51;Q4 : Preço
5àsec Vila Mariana Klabin;22/12/18 12:59;Q2 : Atendimento Daiane
5àsec Oscar Freire;22/12/18 12:53;"Q2 : minhas peças que eram por volta de 8, foram entregues no vizinho por engano. 
demorei três dias para localizá-las."
5àsec Ministro Rocha Azevedo;22/12/18 01:04;Q2 : Cobraram valor errado e ninguém se manifestou ! Valor errado da camisa social de 14 cobraram 21  | Q4 : Preço muito alto !
5àsec Braz Leme;21/12/18 23:04;Q2 : Funcionários gentis, pontualidade e ótimo serviço. | Q4 : Gostaria apenas de ter um pouco mais de descontos promocionais, para clientes fidelizamos como sou.
5àsec Guarulhos Timoteo Penteado;21/12/18 22:31;
5àsec Interlagos Sonda;21/12/18 20:07;
5àsec Loefgreen;21/12/18 20:03;Q2 : Bom atendimento e trabalho bem feito.
5àsec Jardim Marajoara 2 Posto Shell;21/12/18 19:31;
5àsec Brooklin;21/12/18 19:17;Q2 : Muito bem atendida
5àsec Mooca;21/12/18 18:32;
5àsec Aclimaçao;21/12/18 18:07;Q2 : Profissionais educados e atenciosos!
5àsec Imirim;21/12/18 18:02;Q2 : atendimento | Q4 : continuar assim
5àsec Paes De Barros;21/12/18 17:57;Q2 : Sou sempre muito bem atendida
5àsec Estados Unidos;21/12/18 17:35;
5àsec Pio Xi;21/12/18 17:17;Q2 : Demoraram mais de uma semana do prazo combinado e ainda fizeram a bainha da minha cortina errada, deixando mt mais curta do que era. Solicitei ajustarem e nao vieram buscar, meu filho nasceu alguns dias depois e quando me ligaram para ajustar a cortina eu já não podia mais abrir mão dela por conta do meu bebê. A lavagem ficou muito boa, mas considero a experiência péssima.
5àsec Avenida Atlantica;21/12/18 17:16;Q2 : Ótimo atendimento e rapidez nos serviços.
5àsec Santa Cecilia;21/12/18 17:04;Q2 : Atendimento | Q4 : Preço
5àsec Mooca;21/12/18 16:46;Q2 : Deixei 1 blaser, calça e um ventinho Rubinho p lavar e o preço ficou altíssimo ( 100,00 ). Ao questionar o valor, atendente imediatamente baixou para 85. Porque não cobrou este valor logo na primeira vez? Se dava para fazer a um valor menor, não deveria ter esperado eu pedir. Me senti enganada.  | Q4 : Cobrar o preço justo na primeira vez.
5àsec Tabapua;21/12/18 16:18;"Q2 : Minha paletó continuou com cheiro de ""cc"" | Q4 : Lavar direito a roupa
Me mandar SMS avisando que a roupa está pronta"
5àsec Tabapua;21/12/18 16:12;
5àsec Sumare Posto Texaco;21/12/18 15:50;
5àsec Vila Beatriz;21/12/18 15:49;Q2 : Pontualidade, atendimento, cuidado com as roupas
5àsec Alfonso Bovero;21/12/18 15:45;Q2 : Por tudo | Q4 : Nihil
5àsec Vila Mariana;21/12/18 15:42;Q2 : Serviço bem feito e rápida entrega | Q4 : Mais promoções e melhores preços para os clientes
5àsec Paraiso;21/12/18 15:38;Q2 : Roupa impecável - atendimento simpático
5àsec Interlagos Autodromo;21/12/18 15:18;Q4 : Nada, está ótimo!
5àsec Alameda Tiete;21/12/18 15:04;Q2 : Bom atendimento
5àsec Extra Raposo Tavares;21/12/18 15:01;
5àsec Wal Mart Osasco;21/12/18 14:56;
5àsec Ibirapuera;21/12/18 14:54;Q2 : atendimento
5àsec Carrefour Pirituba;21/12/18 14:50;Q4 : temos alguma loja próximo ao Jaraguá?
5àsec Av. Santa Ines;21/12/18 14:49;Q2 : Estava com dificuldade para retirar e a unidade não tem delivery | Q4 : Ter delivery
5àsec Alphaville;21/12/18 14:48;
5àsec Bela Vista Consolacao;21/12/18 14:43;
5àsec Alameda Santos;21/12/18 14:42;Q2 : Confiança no serviço  | Q4 : Se melhorar estraga
5àsec Shopping Penha;21/12/18 14:41;Q2 : Qualidade do serviço prestado e bom prazo. | Q4 : Nessa minha ulltima visita só havia uma pessoa atendendo.
5àsec Mooca;21/12/18 14:38;Q2 : Pq é ótima
5àsec Sumare Posto Texaco;21/12/18 14:37;Q2 : O atendimento prestado pela Vanuza da unidade que fica no posto do inicio da Sumaré é excelente, já pensei em trocar a lavanderia mas o atendimento que ela me presta faz toda diferença
5àsec Vitoria Da Conquista;21/12/18 14:36;Q2 : Excelente serviço
5àsec Wal Mart Pacaembu;21/12/18 14:33;Q2 : O atendimento sempre de pronto,ágil e cortez. | Q4 : Não me ocorre nada no momento, visto q me atende nas minhas necessidades.
5àsec Guarulhos Timoteo Penteado;21/12/18 00:50;
5àsec Vila Beatriz;20/12/18 22:37;Q2 : bom serviço e bom atendimento
5àsec Perdizes;20/12/18 22:16;Q2 : Fui bem atendida foi rápido e o reultado da lavagem foi satisfatória
5àsec Vila Nova Concei?Ao I;20/12/18 18:33;Q2 : Preço - extremamente caro. Paguei mais de R$ 20,00 pela lavagem de uma blusa simples | Q4 : Preço, qualidade no atendimento
5àsec Bela Vista Consolacao;20/12/18 18:29;Q2 : Toda a equipe do 5 a Sec merece nota máxima...  | Q4 : Nada... equipe maravilhosa...
5àsec Lapa Albion;20/12/18 18:22;Q2 : As peças impecáveis | Q4 : Talvez, prazo na entrega, 5 dias acredito ser longo, mas também entendo que o volume deve ser alto. Em fim, só isso, pois o atendimento foi bom.
5àsec Extra Itaim;20/12/18 18:20;Q2 : Atenciosos Precisos Tem Qualidade Organizados | Q4 : Usar menos plastico : cabide plastico - barbatana plastica - saco plastico - envelope plastico !!!! Nao preciso de tanto plastico , nem opçao tenho !
5àsec Moema Lavandisca;20/12/18 18:18;
5àsec Interlagos Autodromo;20/12/18 18:15;
5àsec Jardim Paulista;20/12/18 18:00;Q2 : Demora demais para entregar a roupa | Q4 : Agilizar a entrega.
5àsec Umuarama;20/12/18 17:34;"Q2 : bom atendimento, serviço qualidade etc...
 | Q4 : disponibilizar os serviços de reparos em roupas em período integral. Hoje vcs estão só com meio período."
5àsec Guarulhos;20/12/18 17:33;
5àsec Vila Mariana Klabin;20/12/18 17:03;Q2 : Levamos um casaco bem sujo e antigo, o serviço ficou perfeito e o preço foi justo pelo serviço efetuado!
